task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-2004-psr-small-50,psr-small,20,bcoverage,bmaxmin,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bcoverage,bnovelty,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bcoverage,maxsum_stability,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxsum,bcoverage,0.7391304347826086,0.7391304347826086,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxsum,bmaxsum,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxsum,bmaxmin,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxsum,bnovelty,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxsum,maxsum_stability,0.7391304347826086,0.7391304347826086,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxmin,bcoverage,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxmin,bmaxsum,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxmin,bmaxmin,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxmin,bnovelty,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bmaxmin,maxsum_stability,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bnovelty,bcoverage,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bnovelty,bmaxsum,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bnovelty,bmaxmin,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bnovelty,bnovelty,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bnovelty,maxsum_stability,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,maxsum_stability,bcoverage,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,maxsum_stability,bmaxsum,0.7391304347826086,0.7391304347826086,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,maxsum_stability,bmaxmin,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,maxsum_stability,bnovelty,0.2,0.2,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,maxsum_stability,maxsum_stability,1.0,1.0,241860376
1.0-1000-classical-2004-satellite-10,satellite,20,bcoverage,bcoverage,1.0,1.0,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bcoverage,bmaxsum,0.25,0.25,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bcoverage,bmaxmin,0.047619047619047616,0.047619047619047616,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bcoverage,bnovelty,0.047619047619047616,0.047619047619047616,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bcoverage,maxsum_stability,0.08108108108108109,0.08108108108108109,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxsum,bcoverage,0.25,0.25,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxsum,bmaxsum,1.0,1.0,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxsum,bmaxmin,0.1,0.1,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxsum,bnovelty,0.1,0.1,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxsum,maxsum_stability,0.02564102564102564,0.02564102564102564,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxmin,bcoverage,0.047619047619047616,0.047619047619047616,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxmin,bmaxsum,0.1,0.1,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxmin,bmaxmin,1.0,1.0,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxmin,bnovelty,1.0,1.0,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bmaxmin,maxsum_stability,0.047619047619047616,0.047619047619047616,1097989417
1.0-1000-classical-2004-satellite-10,satellite,20,bnovelty,bcoverage,0.047619047619047616,0.047619047619047616,1097989417
